City_ID,Name,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,candido mendes,BR,2022-06-03 01:44:09,-1.4467,-45.7167,74.3,95,88,2.8
69,barcelos,PT,2022-06-03 01:40:28,41.5388,-8.6151,63.84,93,7,4.34
70,cassilandia,BR,2022-06-03 01:44:09,-19.1133,-51.7342,74.17,54,81,2.93
71,galatas,GR,2022-06-03 01:44:10,37.4962,23.4489,78.87,59,0,17.98
72,pisco,PE,2022-06-03 01:34:52,-13.7,-76.2167,62.65,88,100,3.44
73,naryan-mar,RU,2022-06-03 01:44:11,67.6713,53.087,37.2,40,7,13.44
74,turkistan,KZ,2022-06-03 01:44:12,43.0,68.0,70.03,51,100,18.07
75,hithadhoo,MV,2022-06-03 01:39:38,-0.6,73.0833,83.88,69,96,10.25
76,ancud,CL,2022-06-03 01:36:20,-41.8697,-73.8203,42.37,84,100,8.77
77,lasa,IT,2022-06-03 01:36:06,46.6166,10.7002,59.88,87,71,2.95
78,salalah,OM,2022-06-03 01:34:19,17.0151,54.0924,84.29,74,40,3.44
79,port alfred,ZA,2022-06-03 01:34:18,-33.5906,26.891,55.04,80,1,8.28
80,praia da vitoria,PT,2022-06-03 01:39:44,38.7333,-27.0667,62.85,82,20,3.51
81,malini,RO,2022-06-03 01:44:13,47.4667,26.0833,62.62,93,68,5.55
82,castro,BR,2022-06-03 01:34:40,-24.7911,-50.0119,57.24,98,100,1.12
83,takoradi,GH,2022-06-03 01:41:25,4.8845,-1.7554,78.04,87,77,4.63
84,nyrob,RU,2022-06-03 01:44:14,60.733,56.7202,50.4,53,50,6.46
85,skoghall,SE,2022-06-03 01:40:37,59.3232,13.4655,52.36,82,100,5.75
86,kogon,UZ,2022-06-03 01:44:15,39.7228,64.5517,66.24,45,0,9.22
87,aosta,IT,2022-06-03 01:44:15,45.7667,7.4167,54.91,81,100,1.99
88,mogadishu,SO,2022-06-03 01:40:48,2.0371,45.3438,79.05,79,72,18.75
89,kulhudhuffushi,MV,2022-06-03 01:44:16,6.6221,73.07,82.31,77,45,18.7
90,novobelokatay,RU,2022-06-03 01:44:16,55.7062,58.9549,57.92,88,52,3.96
91,sao jose da coroa grande,BR,2022-06-03 01:44:16,-8.8978,-35.1478,75.34,90,100,5.17
92,kariba,ZW,2022-06-03 01:44:17,-16.5167,28.8,56.84,78,0,3.8
93,camacha,PT,2022-06-03 01:34:56,33.0833,-16.3333,62.02,77,40,14.97
94,filingue,NE,2022-06-03 01:34:26,14.3521,3.3168,91.96,24,0,9.44
95,slonim,BY,2022-06-03 01:44:18,53.0867,25.3219,45.09,95,0,3.6
96,negombo,LK,2022-06-03 01:40:08,7.2083,79.8358,80.65,89,75,5.75
97,coquimbo,CL,2022-06-03 01:35:16,-29.9533,-71.3436,55.13,62,0,5.75
98,hearst,CA,2022-06-03 01:44:19,49.6835,-83.6665,66.45,61,30,4.18
99,mocuba,MZ,2022-06-03 01:44:19,-16.8392,36.9856,61.61,97,65,3.44
100,tourlaville,FR,2022-06-03 01:44:19,49.6383,-1.5664,56.62,88,0,9.22
101,thunder bay,CA,2022-06-03 01:33:03,48.4001,-89.3168,57.18,51,75,12.66
102,touros,BR,2022-06-03 01:34:31,-5.1989,-35.4608,76.48,85,93,5.93
103,rawson,AR,2022-06-03 01:36:36,-43.3002,-65.1023,44.56,47,100,18.32
104,omboue,GA,2022-06-03 01:36:14,-1.5746,9.2618,72.75,94,97,5.48
105,freeport,US,2022-06-03 01:44:20,40.6576,-73.5832,70.3,85,100,8.05
106,le moule,GP,2022-06-03 01:44:20,16.3332,-61.3473,77.04,77,11,11.21
107,bonfim,BR,2022-06-03 01:44:21,3.0833,-59.95,76.14,89,90,4.07
108,banepa,NP,2022-06-03 01:44:21,27.6298,85.5214,70.12,88,75,0.0
109,nokaneng,BW,2022-06-03 01:44:22,-19.6667,22.2667,47.17,52,0,7.23
110,uarini,BR,2022-06-03 01:44:22,-2.99,-65.1083,73.49,97,100,0.98
111,tiverton,GB,2022-06-03 01:44:22,50.9,-3.4833,51.53,91,13,3.83
112,itarema,BR,2022-06-03 01:34:33,-2.9248,-39.9167,75.61,90,100,7.61
113,longyearbyen,SJ,2022-06-03 01:34:25,78.2186,15.6401,40.84,81,20,8.05
114,aripuana,BR,2022-06-03 01:39:52,-9.1667,-60.6333,74.53,85,100,2.1
115,victoria,HK,2022-06-03 01:44:23,22.2855,114.1577,88.18,85,98,11.01
116,coihaique,CL,2022-06-03 01:44:23,-45.5752,-72.0662,28.35,100,100,3.44
117,villa carlos paz,AR,2022-06-03 01:44:24,-31.4241,-64.4978,46.38,43,100,1.01
118,lowestoft,GB,2022-06-03 01:35:54,52.4752,1.7516,50.41,84,100,10.58
119,teguldet,RU,2022-06-03 01:40:08,57.3064,88.1667,33.93,99,100,5.91
120,catamarca,AR,2022-06-03 01:39:11,-28.4696,-65.7852,49.59,57,0,9.06
121,manicore,BR,2022-06-03 01:44:24,-5.8092,-61.3003,75.15,94,0,1.14
122,lagoa,PT,2022-06-03 01:35:48,39.05,-27.9833,62.82,92,27,8.81
123,sao miguel,BR,2022-06-03 01:44:25,-5.4667,-35.3667,75.97,85,100,5.88
124,cordoba,AR,2022-06-03 01:41:41,-31.4135,-64.1811,49.75,61,0,12.66
125,luangwa,ZM,2022-06-03 01:44:25,-15.6167,30.4167,55.56,86,0,2.57
126,malabo,GQ,2022-06-03 01:44:26,3.75,8.7833,78.76,84,100,2.42
